,,,,,,ICDataset-ID,,1571,Ratio,1512,,
,,,,,,Name,Total fossil + nuclear,"CO2, fossil",gCO2/MJ,GWP 100a,,
,,,,,,Location,Non renewable,GLO,,GLO,,
,,,,,,Unit,Primary energy,kg,,kg CO2-Eq,,
,,,,,,Ecocat,,selected LCI results,,IPCC 2001,,
,,,,,,Ecosubcat,,air,,climate change,,
Dataset-ID,Name,Location,Unit,Infrastructureprocess,Ecocat,Ecosubcat,MeanValue,MeanValue,,MeanValue,,
99,"glyphosate, at regional storehouse",CH,kg,0,agricultural means of production,pesticides,379.38,12.962,34.2,13.805,,
100,"linuron, at regional storehouse",RER,kg,0,agricultural means of production,pesticides,263.36,6.8463,26,7.3691,,
101,"linuron, at regional storehouse",CH,kg,0,agricultural means of production,pesticides,257.48,5.9966,23.3,6.5003,,
102,"maneb, at regional storehouse",RER,kg,0,agricultural means of production,pesticides,96.61,2.7795,28.8,3.0113,,
103,"maneb, at regional storehouse",CH,kg,0,agricultural means of production,pesticides,94.62,2.5188,26.6,2.7463,,
106,"metolachlor, at regional storehouse",RER,kg,0,agricultural means of production,pesticides,242.55,8.0164,33.1,8.4314,,
107,"metolachlor, at regional storehouse",CH,kg,0,agricultural means of production,pesticides,237.1,7.2841,30.7,7.6982,,
108,"nitrile-compounds, at regional storehouse",RER,kg,0,agricultural means of production,pesticides,135.56,4.676,34.5,4.9404,,
109,"nitrile-compounds, at regional storehouse",CH,kg,0,agricultural means of production,pesticides,132.3,4.2459,32.1,4.5084,,
110,"nitro-compounds, at regional storehouse",RER,kg,0,agricultural means of production,pesticides,78.73,2.1778,27.7,2.2972,,
111,"nitro-compounds, at regional storehouse",CH,kg,0,agricultural means of production,pesticides,78.22,2.1256,27.2,2.2515,,
112,"organophosphorus-compounds, at regional storehouse",RER,kg,0,agricultural means of production,pesticides,211.41,7.2691,34.4,7.7296,,
113,"organophosphorus-compounds, at regional storehouse",CH,kg,0,agricultural means of production,pesticides,203.82,6.2365,30.6,6.6696,,
114,"parathion, at regional storehouse",RER,kg,0,agricultural means of production,pesticides,126.65,4.0493,32,4.3347,,
115,"parathion, at regional storehouse",CH,kg,0,agricultural means of production,pesticides,122.64,3.4888,28.4,3.7573,,
116,"pesticide unspecified, at regional storehouse",RER,kg,0,agricultural means of production,pesticides,216.4,7.2891,33.7,7.7169,,
117,"pesticide unspecified, at regional storehouse",CH,kg,0,agricultural means of production,pesticides,210.86,6.5585,31.1,6.9809,,
118,"phenoxy-compounds, at regional storehouse",RER,kg,0,agricultural means of production,pesticides,107.71,3.7094,34.4,3.8986,,
119,"phenoxy-compounds, at regional storehouse",CH,kg,0,agricultural means of production,pesticides,105.29,3.3971,32.3,3.5856,,
120,"phtalamide-compounds, at regional storehouse",RER,kg,0,agricultural means of production,pesticides,105.05,3.443,32.8,3.6551,,
121,"phtalamide-compounds, at regional storehouse",CH,kg,0,agricultural means of production,pesticides,101.58,2.9362,28.9,3.1308,,
122,"propachlor, at regional storehouse",RER,kg,0,agricultural means of production,pesticides,254.22,8.3317,32.8,8.7677,,
123,"propachlor, at regional storehouse",CH,kg,0,agricultural means of production,pesticides,248.29,7.5415,30.4,7.9746,,
