,,,,,,ICDataset-ID,,1571,Ratio,1512,,
,,,,,,Name,Total fossil + nuclear,"CO2, fossil",gCO2/MJ,GWP 100a,,
,,,,,,Location,Non renewable,GLO,,GLO,,
,,,,,,Unit,Primary energy,kg,,kg CO2-Eq,,
,,,,,,Ecocat,,selected LCI results,,IPCC 2001,,
,,,,,,Ecosubcat,,air,,climate change,,
Dataset-ID,Name,Location,Unit,Infrastructureprocess,Ecocat,Ecosubcat,MeanValue,MeanValue,,MeanValue,,
1048,"aluminium fluoride, at plant",RER,kg,0,metals,extraction,19.83,1.1461,57.8,1.1966,,
1052,"aluminium scrap, new, at plant",RER,kg,0,metals,extraction,0.35,0.019441,55.5,0.020419,,
1053,"aluminium scrap, old, at plant",RER,kg,0,metals,extraction,3.33,0.2567,77.1,0.26862,,
1054,"aluminium, primary, at plant",RER,kg,0,metals,extraction,160.35,9.5478,59.5,11.789,,
1055,"aluminium, primary, liquid, at plant",RER,kg,0,metals,extraction,157.92,9.4041,59.5,11.636,,
1056,"aluminium, production mix, at plant",RER,kg,0,metals,extraction,112.96,6.7144,59.4,8.2523,,
1057,"aluminium, production mix, cast alloy, at plant",RER,kg,0,metals,extraction,42.92,2.5288,58.9,3.0149,,
1058,"aluminium, production mix, wrought alloy, at plant",RER,kg,0,metals,extraction,145.06,8.6324,59.5,10.652,,
1059,"aluminium, secondary, from new scrap, at plant",RER,kg,0,metals,extraction,7.39,0.3935,53.2,0.41906,,
1060,"aluminium, secondary, from old scrap, at plant",RER,kg,0,metals,extraction,22.36,1.316,58.9,1.3941,,
10148,"anode slime, silver and tellurium containing, primary copper production",GLO,kg,0,metals,extraction,66.49,3.8043,57.2,4.2543,,
1061,"anode, aluminium electrolysis",RER,kg,0,metals,extraction,54.13,0.937,17.3,0.99638,,
1063,"bauxite, at mine",GLO,kg,0,metals,extraction,0.12,0.0074662,62.2,0.0079118,,
1066,"brass, at plant",CH,kg,0,metals,extraction,38.63,2.3662,61.3,2.5593,,
1067,"brazing solder, cadmium free, at plant",RER,kg,0,metals,extraction,40.2,2.4856,61.8,2.6849,,
1068,"bronze, at plant",CH,kg,0,metals,extraction,47.04,2.6874,57.1,2.9007,,
6905,"cadmium chloride, semiconductor-grade, at plant",US,kg,0,metals,extraction,51.73,2.8562,55.2,3.0274,,
10145,"cadmium sludge, from zinc electrolysis, at plant",GLO,kg,0,metals,extraction,0,-9.5426e-12,#DIV/0!,-1.0531e-11,,
6904,"cadmium sulphide, semiconductor-grade, at plant",US,kg,0,metals,extraction,73.29,3.9968,54.5,4.2436,,
6906,"cadmium telluride, semiconductor-grade, at plant",US,kg,0,metals,extraction,269.94,14.975,55.5,15.885,,
7163,"cadmium, primary, at plant",GLO,kg,0,metals,extraction,16.32,0.79525,48.7,0.84202,,
6902,"cadmium, semiconductor-grade, at plant",US,kg,0,metals,extraction,65.72,3.6947,56.2,3.9117,,
1069,"cast iron, at plant",RER,kg,0,metals,extraction,24.45,1.3541,55.4,1.5091,,
1070,"cathode, aluminium electrolysis",RER,kg,0,metals,extraction,59.21,2.1965,37.1,2.4593,,
10147,"cathode, copper, primary copper production",GLO,kg,0,metals,extraction,54.61,3.1245,57.2,3.4941,,
1071,"chromite, ore concentrate, at beneficiation",GLO,kg,0,metals,extraction,0.52,0.029703,57.1,0.033408,,
1072,"chromium steel 18/8, at plant",RER,kg,0,metals,extraction,80.73,4.9196,60.9,5.255,,
1073,"chromium, at regional storage",RER,kg,0,metals,extraction,456.87,24.25,53.1,26.434,,
5836,"cobalt, at plant",GLO,kg,0,metals,extraction,129.75,8.1897,63.1,8.8102,,
1076,"copper concentrate, at beneficiation",GLO,kg,0,metals,extraction,8.85,0.47686,53.9,0.56125,,
1077,"copper concentrate, at beneficiation",RNA,kg,0,metals,extraction,15.27,0.82983,54.3,0.97118,,
1078,"copper concentrate, at beneficiation",RLA,kg,0,metals,extraction,8.07,0.44232,54.8,0.52045,,
1079,"copper concentrate, at beneficiation",RER,kg,0,metals,extraction,3.42,0.18553,54.2,0.21546,,
1080,"copper concentrate, at beneficiation",RAS,kg,0,metals,extraction,15.21,0.82615,54.3,0.97147,,
1081,"copper concentrate, at beneficiation",ID,kg,0,metals,extraction,7.28,0.39379,54.1,0.45902,,
1082,"copper concentrate, couple production Mo",GLO,kg,0,metals,extraction,8.07,0.43484,53.9,0.5118,,
10149,"copper telluride cement, from copper production",GLO,kg,0,metals,extraction,9.94,0.56504,56.8,0.63006,,
1093,"copper, SX-EW, at refinery",GLO,kg,0,metals,extraction,105.59,5.9171,56,6.6508,,
1074,"copper, at regional storage",RER,kg,0,metals,extraction,31.23,1.8568,59.5,2.0235,,
1075,"copper, blister-copper, at primary smelter",RER,kg,0,metals,extraction,25.73,1.5416,59.9,1.687,,
10101,"copper, from combined metal production, at beneficiation",SE,kg,0,metals,extraction,30.87,0.81802,26.5,1.0063,,
10100,"copper, from combined metal production, at refinery",SE,kg,0,metals,extraction,57.32,1.5046,26.2,1.9426,,
1083,"copper, from imported concentrates, at refinery",DE,kg,0,metals,extraction,16.25,1.0177,62.6,1.0542,,
1084,"copper, primary, at refinery",GLO,kg,0,metals,extraction,54.72,3.1307,57.2,3.501,,
1085,"copper, primary, at refinery",RNA,kg,0,metals,extraction,86.51,4.8411,56,5.4489,,
1086,"copper, primary, at refinery",RLA,kg,0,metals,extraction,56.39,3.2936,58.4,3.6583,,
1087,"copper, primary, at refinery",RER,kg,0,metals,extraction,30.39,1.7858,58.8,1.9463,,
1088,"copper, primary, at refinery",RAS,kg,0,metals,extraction,81.32,4.5834,56.4,5.2151,,
1139,"copper, primary, at refinery",ID,kg,0,metals,extraction,48.97,2.8683,58.6,3.1562,,
1089,"copper, primary, couple production nickel",GLO,kg,0,metals,extraction,66.16,5.0117,75.8,5.3284,,
1090,"copper, primary, from platinum group metal production",ZA,kg,0,metals,extraction,41.71,2.0968,50.3,2.2345,,
1091,"copper, primary, from platinum group metal production",RU,kg,0,metals,extraction,35.31,1.823,51.6,2.03,,
1092,"copper, secondary, at refinery",RER,kg,0,metals,extraction,27.25,1.7262,63.3,1.8339,,
8140,"copper, secondary, from electronic and electric scrap recycling, at refinery",SE,kg,0,metals,extraction,0.84,0.10105,120.3,0.10385,,
1095,"ferrochromium, high-carbon, 68% Cr, at plant",GLO,kg,0,metals,extraction,28.62,1.8086,63.2,1.9292,,
1096,"ferrochromium, high-carbon, 68% Cr, at regional storage",RER,kg,0,metals,extraction,31.78,1.9845,62.4,2.1127,,
1097,"ferromanganese, high-coal, 74.5% Mn, at regional storage",RER,kg,0,metals,extraction,16.73,0.9351,55.9,0.98109,,
1098,"ferronickel, 25% Ni, at plant",GLO,kg,0,metals,extraction,177.17,10.859,61.3,11.508,,
6907,"gallium, in Bayer liquor from aluminium production, at plant",GLO,kg,0,metals,extraction,0,,#DIV/0!,0,,
6908,"gallium, semiconductor-grade, at plant",GLO,kg,0,metals,extraction,2988.9,157.22,52.6,186.17,,
6909,"gallium, semiconductor-grade, at regional storage",RER,kg,0,metals,extraction,3065.51,162.09,52.9,191.14,,
10110,"gold, at refinery",CA,kg,0,metals,extraction,231718,10376,44.8,11350,,
10111,"gold, at refinery",US,kg,0,metals,extraction,269323,16552,61.5,17595,,
10112,"gold, at refinery",ZA,kg,0,metals,extraction,180121,11870,65.9,12809,,
10113,"gold, at refinery",TZ,kg,0,metals,extraction,222110.6,13956,62.8,14862,,
10114,"gold, at refinery",AU,kg,0,metals,extraction,215040,13780,64.1,14941,,
10121,"gold, at regional storage",RER,kg,0,metals,extraction,203099,12403,61.1,13258,,
10108,"gold, from combined gold-silver production, at refinery",PG,kg,0,metals,extraction,576158,33932,58.9,35856,,
10109,"gold, from combined gold-silver production, at refinery",CL,kg,0,metals,extraction,544412,42205,77.5,44430,,
10115,"gold, from combined gold-silver production, at refinery",PE,kg,0,metals,extraction,90157.2,5881.1,65.2,6753.4,,
10088,"gold, from combined metal production, at beneficiation",SE,kg,0,metals,extraction,111526,3018.1,27.1,3736.3,,
10107,"gold, from combined metal production, at refinery",SE,kg,0,metals,extraction,172733,8058,46.7,9125.1,,
10120,"gold, primary, at refinery",GLO,kg,0,metals,extraction,291028,17592,60.4,18822,,
8142,"gold, secondary, at precious metal refinery",SE,kg,0,metals,extraction,7027.9,827.08,117.7,850.3,,
7164,"indium, at regional storage",RER,kg,0,metals,extraction,2291.33,145.38,63.4,155.57,,
1099,"iron ore, 46% Fe, at mine",GLO,kg,0,metals,extraction,0.07,0.0042828,61.2,0.0047466,,
1100,"iron ore, 65% Fe, at beneficiation",GLO,kg,0,metals,extraction,0.32,0.016506,51.6,0.01778,,
1101,"iron scrap, at plant",RER,kg,0,metals,extraction,0.82,0.046548,56.8,0.049484,,
1102,"iron sulphate, at plant",RER,kg,0,metals,extraction,3.54,0.17782,50.2,0.18947,,
6946,"iron-nickel-chromium alloy, at plant",RER,kg,0,metals,extraction,68.65,4.4858,65.3,4.7463,,
10144,"leaching residues, indium rich, from zinc circuit, at smelter",GLO,kg,0,metals,extraction,0.2,0.013099,65.5,0.014068,,
1104,"lead concentrate, at beneficiation",GLO,kg,0,metals,extraction,3.65,0.28046,76.8,0.30833,,
1103,"lead, at regional storage",RER,kg,0,metals,extraction,15.39,1.003,65.2,1.0696,,
10103,"lead, from combined metal production, at beneficiation",SE,kg,0,metals,extraction,8.47,0.22437,26.5,0.27601,,
10102,"lead, from combined metal production, at refinery",SE,kg,0,metals,extraction,15.27,0.40098,26.3,0.51684,,
10777,"lead, primary, at plant",GLO,kg,0,metals,extraction,24.28,2.0028,82.5,2.128,,
10150,"lead, secondary, at plant",RER,kg,0,metals,extraction,11.67,0.62637,53.7,0.67171,,
8138,"lead, secondary, from electronic and electric scrap recycling, at plant",SE,kg,0,metals,extraction,0.24,0.033786,140.8,0.034651,,
7224,"lithium, at plant",GLO,kg,0,metals,extraction,363.24,17.836,49.1,18.781,,
1106,"magnesium, at plant",RER,kg,0,metals,extraction,161.61,6.6736,41.3,72.369,,
1107,"magnesium-alloy, AZ91, at plant",RER,kg,0,metals,extraction,159.07,6.6019,41.5,66.395,,
1108,"magnesium-alloy, AZ91, diecasting, at plant",RER,kg,0,metals,extraction,290.19,12.182,42,134.41,,
1110,"manganese concentrate, at beneficiation",GLO,kg,0,metals,extraction,0.27,0.016335,60.5,0.01783,,
1109,"manganese, at regional storage",RER,kg,0,metals,extraction,48.69,2.4692,50.7,2.5972,,
1111,"mercury, liquid, at plant",GLO,kg,0,metals,extraction,1752.98,115.57,65.9,117.85,,
8139,"metal values from electric waste, in blister-copper, at converter",SE,kg,0,metals,extraction,7.43,1.0582,142.4,1.0853,,
1115,"molybdenite, at plant",GLO,kg,0,metals,extraction,50.36,2.7142,53.9,3.1945,,
1117,"molybdenum concentrate, couple production Cu",GLO,kg,0,metals,extraction,52.94,2.8531,53.9,3.358,,
5856,"molybdenum concentrate, couple production Cu",RNA,kg,0,metals,extraction,91.35,4.9649,54.4,5.8106,,
5857,"molybdenum concentrate, couple production Cu",RLA,kg,0,metals,extraction,48.3,2.6464,54.8,3.1139,,
5858,"molybdenum concentrate, couple production Cu",RER,kg,0,metals,extraction,20.43,1.11,54.3,1.2891,,
5859,"molybdenum concentrate, couple production Cu",RAS,kg,0,metals,extraction,91.02,4.9429,54.3,5.8123,,
5860,"molybdenum concentrate, couple production Cu",ID,kg,0,metals,extraction,43.55,2.356,54.1,2.7463,,
1116,"molybdenum, at regional storage",RER,kg,0,metals,extraction,160.92,8.9491,55.6,10.27,,
1121,"nickel, 99.5%, at plant",GLO,kg,0,metals,extraction,153.37,10.638,69.4,11.226,,
1124,"nickel, primary, from platinum group metal production",ZA,kg,0,metals,extraction,140.96,7.0855,50.3,7.551,,
1125,"nickel, primary, from platinum group metal production",RU,kg,0,metals,extraction,118.17,6.1015,51.6,6.7943,,
8149,"nickel, secondary, from electronic and electric scrap recycling, at refinery",SE,kg,0,metals,extraction,13.72,1.6479,120.1,1.6936,,
1127,"palladium, at regional storage",RER,kg,0,metals,extraction,176857,9040.1,51.1,9914.1,,
1128,"palladium, primary, at refinery",ZA,kg,0,metals,extraction,204015,10245,50.2,10916,,
1129,"palladium, primary, at refinery",RU,kg,0,metals,extraction,172490,8888.3,51.5,9883.3,,
8143,"palladium, secondary, at precious metal refinery",SE,kg,0,metals,extraction,3681.08,433.22,117.7,445.37,,
1130,"palladium, secondary, at refinery",RER,kg,0,metals,extraction,13438.8,719.23,53.5,754.43,,
10143,"parkes process crust, from desilverising of lead",GLO,kg,0,metals,extraction,102.6,8.4645,82.5,8.9934,,
1131,"pellets, iron, at plant",GLO,kg,0,metals,extraction,1.58,0.079167,50.1,0.086072,,
1132,"pig iron, at plant",GLO,kg,0,metals,extraction,22.85,1.3724,60.1,1.5504,,
1133,"platinum, at regional storage",RER,kg,0,metals,extraction,279552,14115,50.5,15165,,
1134,"platinum, primary, at refinery",ZA,kg,0,metals,extraction,303425,15238,50.2,16235,,
1135,"platinum, primary, at refinery",RU,kg,0,metals,extraction,256675,13226,51.5,14707,,
1136,"platinum, secondary, at refinery",RER,kg,0,metals,extraction,13436.2,719.09,53.5,754.29,,
8141,"precious metals from electric waste, in anode slime, at refinery",SE,kg,0,metals,extraction,477.93,57.403,120.1,58.993,,
1137,"recultivation, bauxite mine",GLO,m2,0,metals,extraction,180.48,11.613,64.3,11.977,,
1138,"recultivation, iron mine",GLO,m2,0,metals,extraction,8226.12,529.31,64.3,545.89,,
1141,"reinforcing steel, at plant",RER,kg,0,metals,extraction,22.79,1.3453,59,1.4865,,
10964,"resource correction, CuMo, copper, negative",GLO,kg,0,metals,extraction,0,,#DIV/0!,0,,
10963,"resource correction, CuMo, copper, positive",GLO,kg,0,metals,extraction,0,,#DIV/0!,0,,
10972,"resource correction, PbZn, cadmium, negative",GLO,kg,0,metals,extraction,0,,#DIV/0!,0,,
10971,"resource correction, PbZn, cadmium, positive",GLO,kg,0,metals,extraction,0,,#DIV/0!,0,,
10974,"resource correction, PbZn, indium, negative",GLO,kg,0,metals,extraction,0,,#DIV/0!,0,,
10973,"resource correction, PbZn, indium, positive",GLO,kg,0,metals,extraction,0,,#DIV/0!,0,,
10968,"resource correction, PbZn, lead, negative",GLO,kg,0,metals,extraction,0,,#DIV/0!,0,,
10967,"resource correction, PbZn, lead, positive",GLO,kg,0,metals,extraction,0,,#DIV/0!,0,,
10966,"resource correction, PbZn, silver, negative",GLO,kg,0,metals,extraction,0,,#DIV/0!,0,,
10965,"resource correction, PbZn, silver, positive",GLO,kg,0,metals,extraction,0,,#DIV/0!,0,,
10970,"resource correction, PbZn, zinc, negative",GLO,kg,0,metals,extraction,0,,#DIV/0!,0,,
10969,"resource correction, PbZn, zinc, positive",GLO,kg,0,metals,extraction,0,,#DIV/0!,0,,
1142,"rhodium, at regional storage",RER,kg,0,metals,extraction,546110,27588,50.5,29669,,
1143,"rhodium, primary, at refinery",ZA,kg,0,metals,extraction,664600,33376,50.2,35561,,
1144,"rhodium, primary, at refinery",RU,kg,0,metals,extraction,562190,28970,51.5,32214,,
1145,"rhodium, secondary, at refinery",RER,kg,0,metals,extraction,13543.3,724.82,53.5,760.3,,
10153,"silver, at regional storage",RER,kg,0,metals,extraction,1388.32,95.821,69,101.76,,
10116,"silver, from combined gold-silver production, at refinery",PE,kg,0,metals,extraction,1487.48,97.014,65.2,111.39,,
10117,"silver, from combined gold-silver production, at refinery",CL,kg,0,metals,extraction,9329.89,723.31,77.5,761.43,,
10118,"silver, from combined gold-silver production, at refinery",PG,kg,0,metals,extraction,13913.86,819.44,58.9,865.9,,
10122,"silver, from combined gold-silver production, at refinery",GLO,kg,0,metals,extraction,6156.19,413.19,67.1,440.75,,
10097,"silver, from combined metal production, at beneficiation",SE,kg,0,metals,extraction,1903.76,51.506,27.1,63.757,,
10768,"silver, from combined metal production, at refinery",SE,kg,0,metals,extraction,2952.5,137.85,46.7,156.08,,
10151,"silver, from copper production, at refinery",GLO,kg,0,metals,extraction,351.9,19.998,56.8,22.299,,
10152,"silver, from lead production, at refinery",GLO,kg,0,metals,extraction,663.43,52.215,78.7,55.449,,
8144,"silver, secondary, at precious metal refinery",SE,kg,0,metals,extraction,120.4,14.169,117.7,14.567,,
1147,"sinter, iron, at plant",GLO,kg,0,metals,extraction,3.47,0.33132,95.5,0.38849,,
1148,"soft solder, Sn97Cu3, at plant",RER,kg,0,metals,extraction,288.38,14.98,51.9,15.902,,
10782,"solder, bar, Sn63Pb37, for electronics industry, at plant",GLO,kg,0,metals,extraction,202.5,10.746,53.1,11.398,,
10784,"solder, bar, Sn95.5Ag3.9Cu0.6, for electronics industry, at plant",GLO,kg,0,metals,extraction,351.26,19.405,55.2,20.585,,
10783,"solder, paste, Sn63Pb37, for electronics industry, at plant",GLO,kg,0,metals,extraction,309.29,16.177,52.3,17.156,,
10785,"solder, paste, Sn95.5Ag3.9Cu0.6, for electronics industry, at plant",GLO,kg,0,metals,extraction,457.77,24.787,54.1,26.291,,
1149,"steel, converter, chromium steel 18/8, at plant",RER,kg,0,metals,extraction,77.66,4.8537,62.5,5.1985,,
1150,"steel, converter, low-alloyed, at plant",RER,kg,0,metals,extraction,30.61,1.9373,63.3,2.146,,
1151,"steel, converter, unalloyed, at plant",RER,kg,0,metals,extraction,23.16,1.487,64.2,1.6632,,
1152,"steel, electric, chromium steel 18/8, at plant",RER,kg,0,metals,extraction,72.42,4.3297,59.8,4.5968,,
1153,"steel, electric, un- and low-alloyed, at plant",RER,kg,0,metals,extraction,8.63,0.40179,46.6,0.43106,,
1154,"steel, low-alloyed, at plant",RER,kg,0,metals,extraction,27.48,1.6289,59.3,1.7906,,
8054,"tantalum, powder, capacitor-grade, at regional storage",GLO,kg,0,metals,extraction,4484.5,245.44,54.7,282.63,,
6903,"tellurium, semiconductor-grade, at plant",GLO,kg,0,metals,extraction,146.96,7.2009,49,7.685,,
7125,"tin plated chromium steel sheet, 2 mm, at plant",RER,m2,0,metals,extraction,1481.1,88.395,59.7,94.585,,
1155,"tin, at regional storage",RER,kg,0,metals,extraction,305.24,16.102,52.8,17.076,,
7124,"titanium zinc plate, without pre-weathering, at plant",DE,kg,0,metals,extraction,82.24,4.8172,58.6,5.145,,
10234,"zinc , from Imperial smelting furnace",GLO,kg,0,metals,extraction,42.62,2.6025,61.1,2.7806,,
1157,"zinc concentrate, at beneficiation",GLO,kg,0,metals,extraction,5.59,0.42959,76.8,0.47228,,
10099,"zinc, from combined metal production, at beneficiation",SE,kg,0,metals,extraction,12.95,0.34307,26.5,0.42202,,
10098,"zinc, from combined metal production, at refinery",SE,kg,0,metals,extraction,24.03,0.63088,26.3,0.8145,,
1156,"zinc, primary, at regional storage",RER,kg,0,metals,extraction,49.18,3.171,64.5,3.4056,,
8312,"aluminium product manufacturing, average metal working",RER,kg,0,metals,general manufacturing,49.65,2.8478,57.4,3.2612,,
8311,"chromium steel product manufacturing, average metal working",RER,kg,0,metals,general manufacturing,42.34,2.4404,57.6,2.5809,,
8339,"copper product manufacturing, average metal working",RER,kg,0,metals,general manufacturing,31.1,1.7451,56.1,1.8473,,
10123,"degreasing, metal part in alkaline bath",RER,m2,0,metals,general manufacturing,67.59,4.268,63.1,5.2346,,
8215,"metal product manufacturing, average metal working",RER,kg,0,metals,general manufacturing,31.22,1.7517,56.1,1.8639,,
10141,"metal working factory operation, average heat energy",RER,kg,0,metals,general manufacturing,2.75,0.24172,87.9,0.25341,,
8335,"metal working factory operation, heat energy from hard coal",RER,kg,0,metals,general manufacturing,2.5,0.27773,111.1,0.29435,,
8337,"metal working factory operation, heat energy from heavy fuel oil",RER,kg,0,metals,general manufacturing,2.91,0.2658,91.3,0.27553,,
8336,"metal working factory operation, heat energy from light fuel oil",RER,kg,0,metals,general manufacturing,2.82,0.26153,92.7,0.27074,,
8338,"metal working factory operation, heat energy from natural gas",RER,kg,0,metals,general manufacturing,2.71,0.23365,86.2,0.24626,,
10139,"metal working machine operation, average process heat",RER,kg,0,metals,general manufacturing,20.4,1.0382,50.9,1.0872,,
8331,"metal working machine operation, process heat from hard coal",RER,kg,0,metals,general manufacturing,19.44,1.1388,58.6,1.2089,,
8333,"metal working machine operation, process heat from heavy fuel oil",RER,kg,0,metals,general manufacturing,20.88,1.0966,52.5,1.1423,,
8332,"metal working machine operation, process heat from light fuel oil",RER,kg,0,metals,general manufacturing,20.59,1.0815,52.5,1.1253,,
8334,"metal working machine operation, process heat from natural gas",RER,kg,0,metals,general manufacturing,20.18,0.98289,48.7,1.0387,,
8310,"steel product manufacturing, average metal working",RER,kg,0,metals,general manufacturing,30.25,1.6934,56,1.7944,,
1158,"anodising, aluminium sheet",RER,m2,0,metals,processing,75.57,3.8279,50.7,4.0897,,
1159,"casting, brass",CH,kg,0,metals,processing,1.06,0.06055,57.1,0.063061,,
1160,"casting, bronze",CH,kg,0,metals,processing,1.08,0.06157,57,0.064122,,
6046,"coating powder, at plant",RER,kg,0,metals,processing,139.71,6.0182,43.1,7.4134,,
1161,"contour, brass",RER,kg,0,metals,processing,24.5,1.1891,48.5,1.256,,
1162,"contour, bronze",RER,kg,0,metals,processing,24.84,1.2018,48.4,1.2696,,
1163,"drawing of pipes, steel",RER,kg,0,metals,processing,4.26,0.35356,83,0.37112,,
1164,enamelling,RER,m2,0,metals,processing,171.77,8.1928,47.7,8.6538,,
1165,"hot rolling, steel",RER,kg,0,metals,processing,5,0.2598,52,0.27914,,
1166,"powder coating, aluminium sheet",RER,m2,0,metals,processing,65.66,3.4358,52.3,3.729,,
1167,"powder coating, steel",RER,m2,0,metals,processing,84.11,4.2314,50.3,4.5799,,
1169,"section bar extrusion, aluminium",RER,kg,0,metals,processing,18.61,0.94531,50.8,1.0198,,
1170,"section bar rolling, steel",RER,kg,0,metals,processing,1.94,0.16071,82.8,0.16869,,
1171,"sheet rolling, aluminium",RER,kg,0,metals,processing,10.79,0.54475,50.5,0.59551,,
1172,"sheet rolling, chromium steel",RER,kg,0,metals,processing,10.58,0.54191,51.2,0.59368,,
1173,"sheet rolling, copper",RER,kg,0,metals,processing,23.21,1.1346,48.9,1.196,,
1174,"sheet rolling, steel",RER,kg,0,metals,processing,6.25,0.3331,53.3,0.35939,,
7127,"tin plating, pieces",RER,m2,0,metals,processing,56.62,3.1947,56.4,3.3455,,
1175,"welding, arc, aluminium",RER,m,0,metals,processing,2.91,0.16247,55.8,0.19284,,
1176,"welding, arc, steel",RER,m,0,metals,processing,2.04,0.11417,56,0.12537,,
1177,"welding, gas, steel",RER,m,0,metals,processing,2.06,0.14781,71.8,0.15832,,
1178,"wire drawing, copper",RER,kg,0,metals,processing,42.75,2.0458,47.9,2.156,,
1179,"wire drawing, steel",RER,kg,0,metals,processing,3.88,0.32142,82.8,0.33738,,
1180,"zinc coating, coils",RER,m2,0,metals,processing,76.08,4.1872,55,4.4673,,
1181,"zinc coating, pieces",RER,m2,0,metals,processing,96.03,5.8805,61.2,6.2387,,
1182,"zinc coating, pieces, adjustment per um",RER,m2,0,metals,processing,0.76,0.049013,64.5,0.052635,,
1184,"selective coating, aluminium sheet, nickel pigmented aluminium oxide",SK,m2,0,metals,refinement,87.41,5.2371,59.9,5.6614,,
1185,"selective coating, copper sheet, black chrome",RER,m2,0,metals,refinement,40.37,2.0603,51,2.1764,,
1186,"selective coating, copper sheet, black majic",US,m2,0,metals,refinement,21.48,1.4167,66,1.4886,,
1187,"selective coating, copper sheet, physical vapour deposition",DE,m2,0,metals,refinement,13.99,0.79293,56.7,0.84392,,
1188,"selective coating, copper sheet, sputtering",DE,m2,0,metals,refinement,48.58,2.7113,55.8,2.8918,,
1189,"selective coating, stainless steel sheet, black chrome",CH,m2,0,metals,refinement,17.9,0.59897,33.5,0.63419,,
1190,"silicon, electronic grade, at plant",DE,kg,0,metals,refinement,1369.88,73.817,53.9,85.403,,
1191,"silicon, electronic grade, off-grade, at plant",DE,kg,0,metals,refinement,426.88,23.381,54.8,26.832,,
1192,"silicon, multi-Si, casted, at plant",RER,kg,0,metals,refinement,1052.17,55.499,52.7,62.78,,
6874,"silicon, production mix, photovoltaics, at plant",GLO,kg,0,metals,refinement,732.91,39.721,54.2,45.624,,
1194,"silicon, solar grade, modified Siemens process, at plant",RER,kg,0,metals,refinement,637.28,34.6,54.3,39.631,,
535,"acrylic filler, at plant",RER,kg,0,mortar and plaster,production,10.84,0.36707,33.9,0.40821,,
9242,"adhesive mortar, at plant",CH,kg,0,mortar and plaster,production,23.97,1.0183,42.5,1.0968,,
9241,"anhydrite floor, at plant",CH,kg,0,mortar and plaster,production,1.04,0.039525,38,0.042254,,
536,"base plaster, at plant",CH,kg,0,mortar and plaster,production,1.44,0.20771,144.2,0.2127,,
537,"cement mortar, at plant",CH,kg,0,mortar and plaster,production,1.31,0.18583,141.9,0.19026,,
538,"clay plaster, at plant",CH,kg,0,mortar and plaster,production,0.47,0.018024,38.3,0.018741,,
539,"cobwork, at plant",CH,kg,0,mortar and plaster,production,0.07,0.0038193,54.6,0.0040349,,
540,"cover coat, mineral, at plant",CH,kg,0,mortar and plaster,production,1.51,0.0756,50.1,0.079627,,
541,"cover coat, organic, at plant",CH,kg,0,mortar and plaster,production,5.19,0.16984,32.7,0.18748,,
542,"light mortar, at plant",CH,kg,0,mortar and plaster,production,3.86,0.46471,120.4,0.47577,,
543,"lime mortar, at plant",CH,kg,0,mortar and plaster,production,3.26,0.5865,179.9,0.60061,,
544,plaster mixing,CH,kg,0,mortar and plaster,production,0.65,0.0089934,13.8,0.0097644,,
545,"thermal plaster, at plant",CH,kg,0,mortar and plaster,production,8.22,0.71264,86.7,0.76428,,
1245,"electricity, at Mini-BHKW, allocation energy",CH,kWh,0,natural gas,cogeneration,4.91,0.25975,52.9,0.29579,,
1246,"electricity, at Mini-BHKW, allocation exergy",CH,kWh,0,natural gas,cogeneration,12.76,0.67514,52.9,0.76875,,
1247,"electricity, at Mini-BHKW, allocation heat",CH,kWh,0,natural gas,cogeneration,0.03,0.0012794,42.6,0.0014995,,
1220,"electricity, at cogen 160kWe Jakobsberg, allocation electricity",CH,kWh,0,natural gas,cogeneration,16.2,0.85726,52.9,0.96781,,
1221,"electricity, at cogen 160kWe Jakobsberg, allocation energy",CH,kWh,0,natural gas,cogeneration,5.84,0.3091,52.9,0.34893,,
1222,"electricity, at cogen 160kWe Jakobsberg, allocation exergy",CH,kWh,0,natural gas,cogeneration,12.31,0.6517,52.9,0.73573,,
1223,"electricity, at cogen 160kWe Jakobsberg, allocation heat",CH,kWh,0,natural gas,cogeneration,0.01,0.00076752,76.8,0.00080813,,
1224,"electricity, at cogen 160kWe Jakobsberg, allocation price",CH,kWh,0,natural gas,cogeneration,10.53,0.55749,52.9,0.62936,,
1225,"electricity, at cogen 160kWe lambda=1, allocation electricity",CH,kWh,0,natural gas,cogeneration,13.66,0.72322,52.9,0.81649,,
1226,"electricity, at cogen 160kWe lambda=1, allocation energy",CH,kWh,0,natural gas,cogeneration,5.06,0.268,53,0.30253,,
1227,"electricity, at cogen 160kWe lambda=1, allocation exergy",CH,kWh,0,natural gas,cogeneration,10.52,0.55703,52.9,0.62885,,
1228,"electricity, at cogen 160kWe lambda=1, allocation heat",CH,kWh,0,natural gas,cogeneration,0.01,0.00064751,64.8,0.00068177,,
1229,"electricity, at cogen 160kWe lambda=1, allocation price",CH,kWh,0,natural gas,cogeneration,9.02,0.47755,52.9,0.53912,,
1230,"electricity, at cogen 1MWe lean burn, allocation energy",CH,kWh,0,natural gas,cogeneration,5.26,0.27836,52.9,0.32397,,
1231,"electricity, at cogen 1MWe lean burn, allocation energy",RER,kWh,0,natural gas,cogeneration,5.16,0.27712,53.7,0.32174,,
